Blue Mastery 1,Blue Mastery 2,Blue Mastery 3,Blue Mastery 4,Blue Mastery 5,Blue Masteries Avg,Blue Masteries Median,Blue Masteries Kurtorsis,Blue Masteries Skewness,Blue Masteries Std,Blue Masteries Variance,Blue Winrate 1,Blue Winrate 2,Blue Winrate 3,Blue Winrate 4,Blue Winrate 5,Blue Winrates Avg,Blue Winrates Median,Blue Winrates Kurtorsis,Blue Winrates Skewness,Blue Winrates Std,Blue Winrates Variance,Red Mastery 1,Red Mastery 2,Red Mastery 3,Red Mastery 4,Red Mastery 5,Red Masteries Avg,Red Masteries Median,Red Masteries Kurtorsis,Red Masteries Skewness,Red Masteries Std,Red Masteries Variance,Red Winrate 1,Red Winrate 2,Red Winrate 3,Red Winrate 4,Red Winrate 5,Red Winrates Avg,Red Winrates Median,Red Winrates Kurtorsis,Red Winrates Skewness,Red Winrates Std,Red Winrates Variance,Blue Won
5212,162125,137976,3023,90031,79673.4,90031.0,-2.785820154421681,-0.10761214848405391,65915.89079607435,4344904659.44,0.5555555555555556,0.5786516853932584,0.45454545454545453,0.6666666666666665,0.5555555555555556,0.562194983543298,0.5555555555555556,1.7000644469274722,-0.099687897625335,0.06761914035518996,0.004572348142374878,3137115,54573,8791,4044,867747,814454.0,54573.0,3.4275942014870395,1.8725350127182376,1206720.4014683766,1456174127320.0,0.5357502517623364,0.6428571428571429,0.5,0.75,0.46963562753036436,0.5796486044299687,0.5357502517623364,-0.6427653096129391,0.8848674571288575,0.10333318725718584,0.010677747588728633,0
310158,49271,934130,14934,71093,275917.2,71093.0,3.082766351351755,1.7914859103055754,345210.1406479248,119170041206.16003,0.5757575757575758,0.35294117647058826,0.5806451612903226,0.47368421052631576,0.4594594594594595,0.48849751670085234,0.47368421052631576,-0.583272660122323,-0.5331422738160925,0.08431330914484174,0.0071087340989536545,72921,13284,81459,171784,362812,140452.0,81459.0,1.8373288013044355,1.3821940912045636,122178.53662407321,14927594811.6,0.6,0.75,0.5977011494252874,0.5523809523809524,0.45018450184501846,0.5900533207302516,0.5977011494252874,1.5210643054081006,0.43025110646316217,0.09666732618114464,0.00934457195101181,0
167,20904,5333,149916,67660,48796.0,20904.0,1.3901668010691717,1.404328641726592,55880.01533643311,3122576114.0,0.0,0.2857142857142857,0.5,0.5,0.5161290322580645,0.36036866359447,0.5,1.24281952362852,-1.4298554360248448,0.199345911669414,0.03973879249930982,35600,84831,25315,6353,44251,39270.0,35600.0,1.5962584161045896,0.9492287495538154,26047.475486119572,678470979.2,0.5714285714285714,0.5555555555555556,0.8888888888888888,0.6666666666666665,0.5,0.6365079365079365,0.5714285714285714,2.102813763298564,1.474377026212824,0.1371340385171757,0.01880574452003023,0
11409,8824,136900,39708,10965,41561.2,11409.0,3.851253149543007,1.9638715386090848,49010.056149325115,2401985603.76,0.7,0.5,0.46875,0.42857142857142855,0.5,0.5194642857142857,0.5,3.6528681890860257,1.7902534712923048,0.09400458629714804,0.008836862244897953,104233,16193,27845,472765,37023,131611.8,37023.0,4.344783575361579,2.07257702536842,173303.89137050556,30034238764.159996,0.5578947368421052,0.65,0.6086956521739131,0.4492753623188406,0.6296296296296297,0.5790990761928978,0.6086956521739131,1.5488967773509241,-1.3595014510143508,0.07177751155965159,0.005152011165695918,1
56774,250348,18886,68221,37359,86317.6,56774.0,4.2296941492980284,2.0104220156061654,83726.0396163583,7010049709.840001,0.5454545454545454,0.5363636363636364,0.0,0.5,0.5625,0.4288636363636364,0.5363636363636364,4.816982474041663,-2.186746075029742,0.21540323516374646,0.046398553719008265,25400,76288,1336503,97369,57865,318685.0,76288.0,4.957296876079747,2.2240040732483273,509457.30384675023,259546744442.8,0.4,0.6666666666666665,0.5146666666666667,0.5,0.4666666666666666,0.5096,0.5,2.1293268006553605,1.0875280614202965,0.08791268395402332,0.007728639999999991,0
5057,63985,427205,7104,169039,134478.0,63985.0,2.1561581577473428,1.5524643423290034,158004.27425610993,24965350683.2,0.2727272727272727,0.65,0.5568627450980392,0.6,0.2777777777777778,0.47147355912061795,0.5568627450980392,-3.1052022416075546,-0.46075722642806854,0.16291113604982713,0.02654003824904528,170490,203165,5124,6616,151634,107405.8,151634.0,-3.0421704908193297,-0.4335348144342378,84528.95923267954,7145144948.959999,0.4482758620689655,0.6116504854368932,0.875,0.6363636363636364,0.6209150326797386,0.6384410033098467,0.6209150326797386,2.2333309364909733,0.7428979391626916,0.1364933308305383,0.01863042936121478,0
205698,13436,166116,105016,212128,140478.8,166116.0,0.15224524877983248,-1.050738961070912,74083.60297501735,5488380229.759999,0.5473684210526316,0.6666666666666665,0.6201923076923077,0.6285714285714286,0.6666666666666665,0.6258930981299401,0.6285714285714286,1.5887437973123122,-1.2495363788608784,0.04365951249865586,0.001906153031620287,234466,11890,1113112,67489,13985,288188.4,67489.0,4.216921106373978,2.041642062705275,420385.9126262915,176724315534.64,0.5088235294117647,0.5263157894736842,0.5666666666666667,0.5689655172413793,0.52,0.538154300558699,0.5263157894736842,-2.9165448184898555,0.379040151991314,0.024868893035683327,0.0006184618408202586,0
10645,6228,52553,150,85465,31008.2,10645.0,-0.8501870362543102,0.9920611434620136,32895.799752552,1082133641.3600001,0.625,0.5454545454545454,0.5294117647058824,0.0,0.5945945945945946,0.4588921809510045,0.5454545454545454,4.577899726024481,-2.115047127945663,0.23197199874005672,0.053811008199456875,884,17212,3448,22969,3343,9571.2,3448.0,-2.1725278070805807,0.7472866346062359,8827.61991479017,77926873.36,1.0,0.5652173913043478,0.75,0.33333333333333326,0.5,0.6297101449275362,0.5652173913043478,-0.029182141437869458,0.6027358609119321,0.22821370573246033,0.052081495484141996,0
79512,23273,519513,10218,31382,132779.6,31382.0,4.701292357476476,2.1582076951293128,194779.19519763914,37938934881.84001,0.5,0.6,0.5444743935309974,0.5294117647058824,0.6666666666666665,0.5681105649807092,0.5444743935309974,-0.13185318419439085,0.8732382982753408,0.059034830483172984,0.00348511121017697,624428,76669,58084,55153,679358,298738.4,76669.0,-3.2331899290821244,0.622084821291227,288966.5036647673,83501640240.23999,0.5383858267716536,0.4776119402985074,0.5294117647058824,0.14285714285714285,0.5045871559633027,0.4385707661192978,0.5045871559633027,4.595284210143835,-2.126662560522053,0.14936134530018136,0.022308811469880008,1
57302,43371,4631309,240962,2658,995120.4,57302.0,4.958692880854085,2.224884385274715,1819941.4448961373,3312186862850.64,0.6428571428571429,0.84,0.5337837837837838,0.5540540540540541,1.0,0.7141389961389961,0.6428571428571429,-1.2939194239080436,0.7766100470564433,0.179328636717424,0.03215875994692983,32157,22019,46336,545,133916,46994.6,32157.0,3.1570067355558535,1.6521744349658325,45950.54698521009,2111452768.2399998,0.7037037037037037,0.6363636363636364,0.0,0.0,0.559322033898305,0.37987787479312896,0.559322033898305,-3.196573005721547,-0.5130535724961293,0.31351641714898315,0.09829254382193522,1
